entry,name,area,mean,min,max,intden,rawintden,norm_density,genotype,clone
19,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0032-0587-1330:33,1.262e-6,776.037,502,1185,9.795e-4,8346273,0.30154662387596826,syp KO,NA
20,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0029-0677-0635:30,1.242e-6,821.631,524,1279,0.001,8696962,0.3313147320532826,syp KO,NA
21,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0026-0469-1004:27,1.334e-6,886.727,517,1419,0.001,10081199,0.37378140810766486,syp KO,NA
22,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0035-0452-1656:36,9.791e-7,730.443,482,1175,7.152e-4,6094088,0.2717403181488789,syp KO,NA
23,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0032-0448-1471:33,1.075e-6,748.406,331,1194,8.046e-4,6855399,0.28344849259307464,syp KO,NA
24,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0020-0238-1368:21,1.255e-6,959.072,409,1588,0.001,10253434,0.4207042644998336,syp KO,NA
25,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0053-0544-0836:54,1.549e-6,516.512,372,826,8.002e-4,6818481,0.1322368187654479,syp KO,NA
26,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0044-0413-0877:45,1.303e-6,632.52,426,1043,8.24e-4,7020972,0.2077527437801099,syp KO,NA
27,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0044-0428-0748:45,1.63e-6,592.608,415,926,9.658e-4,8228957,0.18173443676225506,syp KO,NA
28,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0025-0049-1152:27,1.33e-6,862.783,475,1300,0.001,9776193,0.35796559193206984,syp KO,NA
29,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0034-0175-1007:36,1.345e-6,784.093,472,1325,0.001,8987271,0.30678723726158014,syp KO,NA
30,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0034-0219-0801:36,1.144e-6,702.424,449,1137,8.034e-4,6845125,0.2533161348320736,syp KO,NA
31,20230722_sypN_DAPI_Phal__Puro_60x_005.tiff:0052-0298-0556:54,1.762e-6,579.528,401,905,0.001,8699875,0.1732416594698671,syp KO,NA
1,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0029-1782-0979:30,1.946e-6,820.903,455,1348,0.002,13613040,0.33077968957942644,syp KO,NA
2,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0020-1853-1143:21,1.301e-6,936.425,584,1560,0.001,10384018,0.40627399526339036,syp KO,NA
3,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0026-1852-1278:27,1.149e-6,925.538,569,1636,0.001,9062869,0.39908168740203376,syp KO,NA
4,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0023-1675-1141:24,1.254e-6,879.59,485,1522,0.001,9396658,0.36889939526795507,syp KO,NA
5,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0020-1499-1498:21,1.483e-6,1134.677,697,1804,0.002,14338909,0.5354407920461227,syp KO,NA
6,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0023-1413-1620:24,1.218e-6,1089.882,573,1694,0.001,11312980,0.5062976819155192,syp KO,NA
7,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0023-1304-1523:24,1.534e-6,1067.385,570,1788,0.002,13947517,0.49130039330026365,syp KO,NA
8,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0020-1392-1402:21,1.429e-6,1117.852,645,1977,0.002,13614317,0.5245940589096454,syp KO,NA
9,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0017-1509-0794:18,1.627e-6,970.544,585,1700,0.002,13452709,0.42823299760107064,syp KO,NA
10,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0017-1279-0890:18,1.762e-6,1014.768,615,1702,0.002,15235731,0.45720261276011026,syp KO,NA
11,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0026-1294-0729:27,1.557e-6,988.836,605,1588,0.002,13115918,0.4401313037164076,syp KO,NA
12,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0020-1046-0915:21,1.841e-6,1047.77,628,1807,0.002,16437417,0.47876658644460307,syp KO,NA
13,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0017-1111-0632:18,1.903e-6,1079.36,582,1760,0.002,17497500,0.49914240357465317,syp KO,NA
