file_name,cell_id,cell_area,channel,nb_rna,depth,gene,genotype,compartment
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,88,4680,2,43,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,94,6999,2,33,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,100,4022,2,9,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,101,6777,2,18,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,102,6766,2,37,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,108,6021,2,24,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,119,5010,2,27,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,121,3207,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,128,13872,2,8,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,131,5397,2,21,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,134,4886,2,60,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,139,5736,2,36,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,140,5368,2,50,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,156,10134,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,157,6653,2,17,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,158,6936,2,113,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,167,10307,2,18,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,168,4401,2,22,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,180,3487,2,11,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,182,5933,2,26,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,185,2211,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,189,3784,2,16,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,226,6072,2,20,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,238,7377,2,19,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,262,7056,2,36,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,263,5191,2,15,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,276,7044,2,32,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,307,7030,2,12,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,319,4462,2,20,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,327,9084,2,14,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,352,6792,2,59,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,353,2183,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,361,2913,2,10,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,372,4431,2,15,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,374,16162,2,8,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,379,5322,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,390,6300,2,11,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,438,3503,2,7,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,452,6315,2,9,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,481,4627,2,18,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,484,2574,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,485,3644,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,488,6574,2,18,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,493,6512,2,10,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,498,6068,2,24,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,506,6543,2,45,shallow,mamo,Wildtype,VNC
